name,carbs,fats,proteins
BUTTERFISH.RAW,0,8.02,17.28
BUTTERNUTS.DRIED,12.05,56.98,24.9
CABBAGE.CHINESE (PAK-CHOI).CKD.BLD.DRND.W/SALT,1.78,0.16,1.56
CABBAGE.CHINESE (PAK-CHOI).CKD.BLD.DRND.WO/SALT,1.78,0.16,1.56
CABBAGE.CHINESE (PAK-CHOI).RAW,2.18,0.2,1.5
CABBAGE.CHINESE (PE-TSAI).CKD.BLD.DRND.W/SALT,2.41,0.17,1.5
CABBAGE.CHINESE (PE-TSAI).CKD.BLD.DRND.WO/SALT,2.41,0.17,1.5
CABBAGE.CHINESE (PE-TSAI).RAW,3.23,0.2,1.2
CABBAGE.CKD.BLD.DRND.WO/SALT,5.51,0.06,1.27
CABBAGE.COMMON (DANISH.DOMESTIC.&POINTED TYPES).STORED.RAW,5.37,0.18,1.21
CABBAGE.COMMON.CKD.BLD.DRND.W/SALT,5.51,0.06,1.27
CABBAGE.COMMON.FRESHLY HARVEST.RAW,5.37,0.18,1.21
CABBAGE.JAPANESE STYLE.FRSH.PICKLED,5.67,0.1,1.6
CABBAGE.KIMCHI,2.4,0.5,1.1
CABBAGE.MUSTARD.SALTED,5.63,0.1,1.1
CABBAGE.NAPA.COOKED,2.23,0.17,1.1
CABBAGE.RAW,5.8,0.1,1.28
CABBAGE.RED.CKD.BLD.DRND.W/SALT,6.94,0.09,1.51
CABBAGE.RED.CKD.BLD.DRND.WO/SALT,6.94,0.09,1.51
CABBAGE.RED.RAW,7.37,0.16,1.43
CABBAGE.SAVOY.CKD.BLD.DRND.W/SALT,5.41,0.09,1.8
CABBAGE.SAVOY.CKD.BLD.DRND.WO/SALT,5.41,0.09,1.8
CABBAGE.SAVOY.RAW,6.1,0.1,2
CAKE.ANGELFOOD.COMMLY PREP,57.8,0.8,5.9
CAKE.ANGELFOOD.DRY MIX,86.13,0.27,6.4
CAKE.ANGELFOOD.DRY MIX.PREP,58.7,0.3,6.1
CAKE.BOSTON CRM PIE.COMMLY PREP,42.9,8.5,2.4
CAKE.CHERRY FUDGE W/CHOC FRSTNG,38,12.5,2.4
CAKE.CHOC.COMMLY PREP W/ CHOC FRSTNG.IN-STORE BAKERY,52.84,20.05,3.48
CAKE.CHOC.PREP FROM RECIPE WO/FRSTNG,53.4,15.1,5.3
CAKE.FRUITCAKE.COMMLY PREP,61.6,9.1,2.9
CAKE.GINGERBREAD.DRY MIX,74.6,13.8,4.4
CAKE.GINGERBREAD.PREP FROM RECIPE,49.2,16.4,3.9
CAKE.PNAPPL UPSIDE-DOWN.PREP FROM RECIPE,50.5,12.1,3.5
CAKE.POUND.BIMBO BAKERIES USA.PANQUE CASERO.HOME BKD STYLE,48.94,21.7,6.62
CAKE.POUND.COMMLY PREP.BUTTER (INCLUDES FRSH & FROZEN),53.64,13.96,5
CAKE.POUND.COMMLY PREP.FAT-FREE,61,1.2,5.4
CAKE.POUND.COMMLY PREP.OTHER THAN ALL BUTTER.ENR,52.5,17.9,5.2
CAKE.POUND.COMMLY PREP.OTHER THAN ALL BUTTER.UNENR,52.5,17.9,5.2
CAKE.PUDDING-TYPE.CARROT.DRY MIX,79.2,9.8,5.1
CAKE.PUDDING-TYPE.CHOC.DRY MIX,80.16,8.14,4.6
CAKE.PUDDING-TYPE.GERMAN CHOC.DRY MIX,81.25,3.24,4.17
CAKE.PUDDING-TYPE.MARBLE.DRY MIX,79.5,11.7,3.4
CAKE.PUDDING-TYPE.WHITE.ENR.DRY MIX,80.9,9.5,3.9
CAKE.PUDDING-TYPE.WHITE.UNENR.DRY MIX,81,9.5,3.9
CAKE.PUDDING-TYPE.YEL.DRY MIX,80,9.8,4
CAKE.SHORTCAKE.BISCUIT-TYPE.PREP FROM RECIPE,48.5,14.2,6.1
CAKE.SNACK CAKES.CREME-FILLED.CHOC W/ FRSTNG,60.31,15.93,3.63
CAKE.SNACK CAKES.CREME-FILLED.SPONGE,64.03,11.54,3.47
CAKE.SNK CAKES.CREME-FILLED.CHOC W/ FRSTNG.L-F.W/ ADD FIBER,69.37,13,3.71
CAKE.SNK CAKES.NOT CHOC.W/ ICING OR FILLING.L-F.W/ ADD FIBER,74.3,11.14,3.71
CAKE.SPONGE.COMMLY PREP,61,2.7,5.4
CAKE.SPONGE.PREP FROM RECIPE,57.7,4.3,7.3
CAKE.WHITE.DRY MIX.SPL DIETARY (INCL LEMON-FLAVORED),79.6,8.4,3
CAKE.WHITE.PREP FROM RECIPE W/COCNT FRSTNG,63.2,10.3,4.4
CAKE.WHITE.PREP FROM RECIPE WO/FRSTNG,57.2,12.4,5.4
CAKE.YEL.COMMLY PREP.W/ CHOC FRSTNG.IN-STORE BAKERY,55.36,17.75,3.16
CAKE.YEL.COMMLY PREP.W/VANILLA FRSTNG,56.2,17.91,2.99
CAKE.YEL.ENR.DRY MIX,81.92,3.5,3.7
CAKE.YEL.LT.DRY MIX,84.1,5.5,4.7
CAKE.YEL.PREP FROM RECIPE WO/FRSTNG,53,14.6,5.3
CAKE.YEL.UNENR.DRY MIX,78.1,11.6,4.4
CAMPBELL'S BRN SUGAR&BACON FLAV BKD BNS,23.08,1.92,3.85
CAMPBELL'S CHNKY.HEALTHY REQUST MICROWAVBL .CHICK NODLE SOUP,6.94,1.02,2.86
CAMPBELL'S CHUNKY MICROWAVABLE BWLS.CHCK DMPLINGS SOUP,7.35,3.67,3.27
CAMPBELL'S CHUNKY SOUPS.BF RIB RST POTATOES HERBS SOUP,6.94,0.41,2.86
CAMPBELL'S CHUNKY SOUPS.BF W/ COUNTRY VEG SOUP,7.35,1.22,3.27
CAMPBELL'S CHUNKY SOUPS.BF W/ WHITE & WILD RICE SOUP,9.8,0.61,3.27
CAMPBELL'S CHUNKY SOUPS.BKD POTATO CHEDDAR BACON BITS SOUP,9.39,3.67,2.04
CAMPBELL'S CHUNKY SOUPS.BKD POTATO W/ STEAK & CHS SOUP,8.57,4.08,3.27
CAMPBELL'S CHUNKY SOUPS.CHICK BROCCOLI CHS & POTATO SOUP,8.16,4.49,2.86
CAMPBELL'S CHUNKY SOUPS.CHICK CORN CHOWDER,8.16,4.08,2.86
CAMPBELL'S CHUNKY SOUPS.FAJITA CHICK W/ RICE & BNS SOUP,9.39,0.61,2.86
CAMPBELL'S CHUNKY SOUPS.FIREHOUSE - HOT SPICY BF BEAN CHILI,10.2,3.27,6.12
CAMPBELL'S CHUNKY SOUPS.GRILLED CHICK SAUSAGE GUMBO SOUP,8.57,1.22,2.86
CAMPBELL'S CHUNKY SOUPS.GRILLED CHICK VEG & PASTA SOUP,5.71,1.02,2.45
CAMPBELL'S CHUNKY SOUPS.GRILLED SIRLOIN STEAK HEARTY VEG SP,7.76,0.82,3.27
CAMPBELL'S CHUNKY SOUPS.GRILLED STEAK- STEAK CHILI W/ BNS,11.02,1.22,6.53
CAMPBELL'S CHUNKY SOUPS.HEALTHY REQUES,8.16,1.22,2.04
CAMPBELL'S CHUNKY SOUPS.HEALTHY REQUEST VEG SOUP,9.8,0.41,1.63
CAMPBELL'S CHUNKY SOUPS.HEARTY BEAN 'N' HAM SOUP,12.24,0.82,4.49
CAMPBELL'S CHUNKY SOUPS.HEARTY BF BARLEY SOUP,8.98,0.92,2.89
CAMPBELL'S CHUNKY SOUPS.HEARTY CHICK W/ VEG SOUP,6.94,0.82,2.45
CAMPBELL'S CHUNKY SOUPS.MANHATTAN CLAM CHOWDER,7.76,1.43,2.04
CAMPBELL'S CHUNKY SOUPS.OLD FASHIONED POTATO HAM CHOWDER,6.94,4.49,2.45
CAMPBELL'S CHUNKY SOUPS.OLD FASHIONED VEG BF SOUP,6.24,1.23,3.16
CAMPBELL'S CHUNKY SOUPS.ROADHOUSE - BF BEAN CHILI,10.2,3.27,6.12
CAMPBELL'S CHUNKY SOUPS.SALISBURY STEAK MUSHRMS ONIONS SOUP,7.76,1.84,2.86
CAMPBELL'S CHUNKY SOUPS.SAVORY CHICK WHITE WILD RICE SOUP,7.35,0.82,2.86
CAMPBELL'S CHUNKY SOUPS.SAVORY POT RST SOUP,8.16,0.41,2.86
CAMPBELL'S CHUNKY SOUPS.SAVORY VEG SOUP,8.98,0.41,1.22
CAMPBELL'S CHUNKY SOUPS.SLOW RSTD BF W/ MUSHROOMS SOUP,7.35,0.61,3.27
CAMPBELL'S CHUNKY SOUPS.SPLIT PEA 'N' HAM SOUP,12.24,1.02,4.9
CAMPBELL'S CHUNKY SOUPS.STEAK 'N' POTATO SOUP,7.35,0.82,3.27
CAMPBELL'S CHUNKY.CLASSIC CHICK NOODLE SOUP,5.41,1.3,3.41
CAMPBELL'S CHUNKY.CREAMY CHICK & DUMPLINGS SOUP,7.09,3.19,2.32
CAMPBELL'S CHUNKY.HEALTHY REQUEST CHICK NOODLE SOUP,5.88,0.97,2.97
CAMPBELL'S CHUNKY.NEW ENGLAND CLAM CHOWDER,9.01,3.85,2.46
CAMPBELL'S HEALTHY REQUEST.CHICK NOODLE SOUP.COND,6.51,1.3,2.4
CAMPBELL'S HEALTHY REQUEST.CRM OF MUSHROOM SOUP.COND,8.6,1.7,1.29
CAMPBELL'S HEALTHY REQUEST.HOMESTYLE CHICK NOODLE SOUP.COND,7.8,1,2.7
CAMPBELL'S HOMESTYLE BUTTERNUT SQUASH BISQUE,7.76,1.22,0.41
CAMPBELL'S HOMESTYLE CHICK W/ WHITE & WILD RICE SOUP,6.94,0.41,2.45
CAMPBELL'S HOMESTYLE HARVEST TOMATO W/ BASIL SOUP,9.39,0.41,0.82
CAMPBELL'S HOMESTYLE HR CHICK W/ WHL GRAIN PASTA SOUP,4.28,0.82,3.8
CAMPBELL'S HOMESTYLE HR MEXICAN STYLE CHICK TORTILLA,7.76,1.02,2.86
CAMPBELL'S HOMESTYLE ITALIAN-STYLE WEDDING SOUP,6.12,1.43,2.86
CAMPBELL'S HOMESTYLE LT ITALIAN-STYLE WEDDING SOUP,4.49,0.61,2.45
CAMPBELL'S HOMESTYLE LT NEW ENGLAND CLAM CHOWDER,6.12,1.63,2.45
CAMPBELL'S HOMESTYLE MEXICAN STYLE CHICK TORTILLA SOUP,8.16,0.82,2.86
CAMPBELL'S HOMESTYLE MICROWAVEABLE BOWLS.HEALTHY REQUEST ITA,5.31,1.02,2.45
CAMPBELL'S HOMESTYLE MICROWAVEABLE BOWLS.HEALTHY REQUEST MEX,7.76,1.02,2.86
CAMPBELL'S HOMESTYLE MINESTRONE SOUP,7.35,0.41,1.63
CAMPBELL'S HOMESTYLE NEW ENGLAND CLAM CHOWDER,5.68,4.23,2.33
CAMPBELL'S HOMESTYLE POTATO BROCCOLI CHS SOUP,6.94,3.67,1.22
CAMPBELL'S HOMESTYLE VEG MEDLEY SOUP,7.35,0.2,1.22
CAMPBELL'S LO NA SOUPS.CHICK BROTH,0.34,0.34,1.01
CAMPBELL'S LO NA SOUPS.CHICK W/ NOODLES SOUP,5.57,1.48,3.93
CAMPBELL'S LO NA SOUPS.CRM OF MUSHROOM SOUP,6.38,2.68,1.01
CAMPBELL'S PORK & BNS,19.23,1.15,4.62
CAMPBELL'S RED & WHITE - MCRWVEABLE BOWLS.CHICK NOODLE SOUP,4.08,0.82,1.63
CAMPBELL'S RED & WHITE - MCRWVEABLE BOWLS.CREAMY TOMATO SOUP,10.2,2.04,1.22
CAMPBELL'S RED & WHITE - MICROWAVEABLE BOWLS.CHICK RICE SOUP,5.71,0.41,0.82
CAMPBELL'S RED & WHITE - MICROWAVEABLE BOWLS.TOMATO SOUP,9.8,0,1.22
CAMPBELL'S RED & WHITE - MICROWAVEABLE BOWLS.VEG BF SOUP,6.12,0.2,2.04
CAMPBELL'S RED & WHITE.BEAN W/ BACON SOUP.COND,19.53,2.34,6.25
CAMPBELL'S RED & WHITE.BEEFY MUSHROOM SOUP.COND,4.76,1.59,2.38
CAMPBELL'S RED & WHITE.BF BROTH.COND,0.81,0,2.42
CAMPBELLS RED & WHITE.BF CONSOMME.COND,0.81,0,3.23
CAMPBELL'S RED & WHITE.BF NOODLE SOUP.COND,6.35,1.59,3.17
CAMPBELL'S RED & WHITE.BF W/ VEG & BARLEY SOUP.COND,11.9,1.19,3.97
CAMPBELL'S RED & WHITE.BROCCOLI CHS SOUP.COND,9.68,3.63,1.61
CAMPBELL'S RED & WHITE.CHICK & STARS SOUP.COND,8.73,1.59,2.38
CAMPBELL'S RED & WHITE.CHICK ALPHABET SOUP.COND,9.52,1.19,2.38
CAMPBELL'S RED & WHITE.CHICK BARLEY W/,12.7,1.19,3.17
CAMPBELL'S RED & WHITE.CHICK GUMBO SOUP.COND,7.94,0.79,1.59
CAMPBELL'S RED & WHITE.CHICK NOODLEO'S SOUP.COND,11.9,1.98,2.38
CAMPBELL'S RED & WHITE.CHICK VEG SOUP.COND,11.9,0.79,2.38
CAMPBELL'S RED & WHITE.CRM OF ASPARAGUS SOUP.COND,7.26,5.65,1.61
CAMPBELL'S RED & WHITE.CRM OF BROCCOLI SOUP.COND,9.68,4.03,1.61
CAMPBELL'S RED & WHITE.CRM OF CELERY SOUP.COND,7.26,4.84,0.81
CAMPBELL'S RED & WHITE.CRM OF ONION SOUP.COND,8.06,4.84,0.81
CAMPBELL'S RED & WHITE.CRM OF SHRIMP SOUP.COND,6.45,4.84,2.42
CAMPBELL'S RED & WHITE.DOUBLE NOODLE IN CHICK BROTH SOP.COND,15.87,1.59,2.38
CAMPBELL'S RED & WHITE.FIESTA NACHO CHS SOUP.COND,8.06,6.45,2.42
CAMPBELL'S RED & WHITE.FRENCH ONION SOUP.COND,4.76,1.19,1.59
CAMPBELL'S RED & WHITE.GOLDEN MUSHROOM SOUP.COND,8.06,2.82,1.61
CAMPBELL'S RED & WHITE.GOLDFISH PASTA W/ CHICK,9.52,1.59,2.38
CAMPBELL'S RED & WHITE.GRN PEA SOUP.COND,21.88,2.34,7.03
CAMPBELL'S RED & WHITE.ITALIAN STYLE W,9.52,1.98,3.17
CAMPBELL'S RED & WHITE.LENTIL SOUP.COND,19.05,0.79,6.35
CAMPBELL'S RED & WHITE.MANHATTAN CLAM CHOWDER.COND,9.52,0.4,1.59
CAMPBELL'S RED & WHITE.MEGA NOODLE IN CHICK BROTH.COND,11.9,1.59,2.38
CAMPBELL'S RED & WHITE.MINESTRONE SOUP.COND,13.49,0.79,3.17
CAMPBELL'S RED & WHITE.NEW ENGLAND CLAM CHOWDER.COND,10.32,1.98,3.17
CAMPBELL'S RED & WHITE.OLD FASHIONED TOMATO RICE SOUP.COND,18.25,1.59,0.79
CAMPBELL'S RED & WHITE.PHINEAS & FERB SOUP.COND,8.73,1.59,2.38
CAMPBELL'S RED & WHITE.SCOOBY-DOO SOUP.COND,8.73,1.59,2.38
CAMPBELL'S RED & WHITE.SPLIT PEA W/ HAM & BACON SOUP.COND,23.44,1.56,7.81
CAMPBELL'S RED & WHITE.TOMATO BISQUE.COND,18.25,2.78,1.59
CAMPBELL'S RED & WHITE.VEG SOUP.COND,16.67,0.4,3.17
CAMPBELL'S RED & WHITE.VEGETARIAN VEG SOUP.COND,14.29,0.4,2.38
CAMPBELL'S RED&WHITE.25% LESS NA TOMATO SOUP.COND,16.13,0,1.61
CAMPBELL'S RED&WHITE.CHICK & DUMPLINGS SOUP.COND,7.94,1.98,2.38
CAMPBELL'S RED&WHITE.CHICK BROTH.COND,0.81,0.81,0.81
CAMPBELL'S RED&WHITE.CHICK WON TON SOUP.COND,6.35,0.79,2.38
CAMPBELL'S RED&WHITE.CREAMY CHICK NOODLE SOUP.COND,8.87,5.65,3.23
CAMPBELL'S SOUP ON THE GO.CHEESY POTATO W/ BACON FLAVOR SOUP,5.25,1.97,0.66
CAMPBELL'S SOUP ON THE GO.CHICK & STARS SOUP,3.28,0.49,0.98
CAMPBELL'S SOUP ON THE GO.CHICK W/ MINI NOODLES SOUP,3.61,0.66,1.31
CAMPBELL'S SOUP ON THE GO.CLASSIC TOMATO SOUP,10.16,0.16,0.98
CAMPBELL'S SOUP ON THE GO.CREAMY BROCCOLI SOUP,4.26,3.61,0.66
CAMPBELL'S SOUP ON THE GO.CREAMY CHICK SOUP,3.28,2.95,0.98
CAMPBELL'S SOUP ON THE GO.CREAMY TOMATO SOUP,9.84,1.64,0.98
CAMPBELL'S SOUP ON THE GO.HEALTHY REQUEST CLASSIC TOMAT SOUP,9.18,0,0.98
CAMPBELL'S SOUP ON THE GO.HR CHICK W/ MINI NOODLES SOUP,2.62,0.66,0.98
CAMPBELL'S SOUP ON THE GO.NEW ENGLAND CLAM CHOWDER,4.26,3.61,0.66
CAMPBELL'S SOUP ON THE GO.VEG BF SOUP,3.28,0.33,0.98
CAMPBELL'S SOUP ON THE GO.VEG W/ MINI RND NOODLES SOUP,6.89,0.16,0.66
CAMPBELL'S V8 100% VEG JUC,4.12,0,0.82
CAMPBELL'S. CHNKY MICRO BOWL.GRLLD CHIC&SAUS GMBO.RTS,7.35,1.63,2.86
CAMPBELL'S. CHNKY MICRO BOWL.NEW ENGL CLM CHOW.RTS,6.94,4.9,2.45
CAMPBELL'S. CHNKY MICRO BOWLS.CLSSC CHIC NOODL.RTS,5.71,1.22,2.45
CAMPBELL'S. TOMATO JUC.LO NA,4.12,0,0.82
CAMPBELL'S.25% LESS NA CHICK NOODLE SOUP.COND,6.3,1.29,2.9
CAMPBELL'S.25% LESS NA CRM OF MUSHROOM SOUP.COND,6.45,6.45,1.61
CAMPBELL'S.98% FAT FREE BROCCOLI CHS SOUP.COND,9.68,1.21,1.61
CAMPBELL'S.98% FAT FREE CRM OF BROCCOLI SOUP.COND,8.06,1.61,1.61
CAMPBELL'S.98% FAT FREE CRM OF CELERY SOUP.COND,7.26,2.42,0.81
CAMPBELL'S.98% FAT FREE CRM OF CHICK SOUP.COND,7.46,2.02,1.8
CAMPBELL'S.98% FAT FREE CRM OF MUSHROOM SOUP.COND,7.63,1.98,1.1
CAMPBELL'S.CHEDDAR CHS SOUP.COND,11.44,3.92,0.8
CAMPBELL'S.CHICK W/ RICE SOUP.COND,11.28,1.64,1.84
CAMPBELL'S.CHNKY MICRO BOWLS.BF W/ CONTRY VEG.RTS,8.57,1.22,4.08
CAMPBELL'S.CHUNKY MICRO BOWLS.OLD FASH VEG BF.RTS,5.71,0.61,2.86
CAMPBELL'S.CHUNKY MICRO BOWLS.SIRL BRGER W/CNTRY VEG.RTS,7.35,1.43,3.27
CAMPBELL'S.CRM OF CHICK SOUP.COND,6.03,7.98,1.76
CAMPBELL'S.CRM OF CHICK W/ HERBS SOUP.COND,7.26,3.23,1.61
CAMPBELL'S.CRM OF MUSHROOM SOUP.COND,6.59,5.5,1.29
CAMPBELL'S.CRM OF MUSHROOM W/ RSTD GARLIC SOUP.COND,8.06,2.02,1.61
CAMPBELL'S.CRM OF POTATO SOUP.COND,13.25,1.35,1.51
CAMPBELL'S.HEALTHY REQUEST.CHICK W/ RICE.COND,7.19,1.19,1.59
CAMPBELL'S.HEALTHY REQUEST.CRM OF CHICK SOUP.COND,7.5,1.5,3
CAMPBELL'S.HOMESTYLE CHICK NOODLE SOUP.COND,7.53,1.28,2.36
CAMPBELL'S.ORGANIC TOMATO JUC,4.12,0,0.82
CAMPBELL'S.RED & WHITE.CHICK NOODLE SOUP.COND,5.97,1.53,2.37
CAMPBELL'S.SPAGHETTIOS ORIGINAL.EASY OPEN,14.55,0.47,2.35
CAMPBELL'S.SPAGHETTIOS RAVIOLIOS BF RAVIOLI IN MEAT SAU,15.08,3.17,4.37
CAMPBELL'S.SPAGHETTIOS.MINI BF RAVIOLI IN MEAT SAU,16.6,1.74,4.25
CAMPBELL'S.SPAGHETTIOS.SPAGHETTI IN TOMATO & CHS SAU,15.87,0.6,2.78
CAMPBELL'S.SPAGHETTIOS.SPAGHETTIOS A TO Z'S,13.89,0.4,2.38
CAMPBELL'S.SPAGHETTIOS.SPAGHETTIOS A TO Z'S W/ MEATBALLS,12.7,2.78,4.37
CAMPBELL'S.SPAGHETTIOS.SPAGHETTIOS IN MEAT SAU,12.3,0.79,3.17
CAMPBELL'S.SPAGHETTIOS.SPAGHETTIOS ORIGINAL,13.89,0.4,2.38
CAMPBELL'S.SPAGHETTIOS.SPAGHETTIOS PLUS CA,13.89,0.4,2.38
CAMPBELL'S.SPAGHETTIOS.W/ MEATBALLS -,11.65,2.43,4.37
CAMPBELL'S.TOMATO JUC,4.12,0,0.82
CAMPBELL'S.TOMATO SOUP.COND,15.22,0.44,1.46
CAMPBELL'S.VEG BF SOUP.COND,11.8,0.26,3.79
CANADA GOOSE.BREAST MEAT.SKINLESS.RAW,0,4.02,24.31
CANADIAN BACON.CKD.PAN-FRIED,1.8,2.78,28.31
CANADIAN BACON.UNPREP,1.34,2.62,20.31
CANDIED FRUIT,82.74,0.07,0.34
CANDIES. CARAMELS. CHOCOLATE-FLAVOR ROLL,87.73,3.31,1.59
Candies. NESTLE. BUTTERFINGER Crisp,68.45,18.33,6.67
CANDIES.5TH AVENUE CANDY BAR,62.68,23.98,8.78
CANDIES.ALMOND JOY CANDY BAR,59.51,26.93,4.13
CANDIES.BUTTERSCOTCH,90.4,3.3,0.03
CANDIES.CARAMELLO CANDY BAR,63.81,21.19,6.19
CANDIES.CARAMELS,77,8.1,4.6
CANDIES.CAROB.UNSWTND,56.29,31.36,8.15
CANDIES.CHOC COVERED.CARAMEL W/NUTS,60.67,21,9.5
CANDIES.CHOC COVERED.LO SUGAR OR LO CAL,37.68,43.27,12.39
CANDIES.CHOC.DK.NFS (45-59% CACAO SOL 90%,1.74,5.09,550
CANDIES.COCNT BAR.NOT CHOC COVERED,55.87,27.65,2.13
CANDIES.CONFECTIONER'S COATING.BUTTERSCOTCH,67.1,29.05,2.2
CANDIES.CONFECTIONER'S COATING.PNUT BUTTER,46.88,29.8,18.3
CANDIES.CONFECTIONER'S COATING.YOGURT,63.94,27,5.87
CANDIES.CRISPY BAR W/ PNUT BUTTER FILLING,55.53,31.34,9.53
CANDIES.DIVINITY.PREPARED-FROM-RECIPE,89.05,0.06,1.32
CANDIES.DK CHOC COATD COFFEE BNS,59.95,30,7.5
CANDIES.FONDANT.PREPARED-FROM-RECIPE,93.18,0.02,0
CANDIES.FRUIT SNACKS.W/ HI VIT C,87.97,0,0.08
CANDIES.FUDGE.CHOC MARSHMLLW.PREPARED-FROM-RECIPE,71.34,17.48,2.26
CANDIES.FUDGE.CHOC MARSHMLLW.W/ NUTS.PREPARED-BY-RECIPE,67.69,21.11,3.24
CANDIES.FUDGE.CHOC.PREPARED-FROM-RECIPE,76.44,10.41,2.39
CANDIES.FUDGE.CHOC.W/ NUTS.PREPARED-FROM-RECIPE,67.93,18.93,4.38
CANDIES.FUDGE.PNUT BUTTER.PREPARED-FROM-RECIPE,77.75,6.59,3.78
CANDIES.FUDGE.VANILLA W/ NUTS,74.61,13.69,3
CANDIES.FUDGE.VANILLA.PREPARED-FROM-RECIPE,82.15,5.45,1.05
CANDIES.GUM DROPS.NO SUGAR OR LO CAL (SORBITOL),88.1,0.2,0
CANDIES.GUMDROPS.STARCH JELLY PIECES,98.9,0,0
CANDIES.HALAVAH.PLAIN,60.49,21.52,12.49
CANDIES.HARD,98,0.2,0
CANDIES.HARD.DIETETIC OR LO CAL (SORBITOL),98.6,0,0
CANDIES.HEATH BITES,63.39,30.38,3.94
CANDIES.HERSHEY.KIT KAT BIG KAT BAR,63.64,27.84,6.24
CANDIES.HERSHEY.REESESTICKS CRISPY WAFERS.PNUT BUT.MILK CHOC,55.38,31.34,9.53
CANDIES.HERSHEY'S GOLDEN ALMOND SOLITAIRES,46.85,37.13,11.97
CANDIES.HERSHEY'S MILK CHOC W/ ALMOND BITES,51.72,35.73,9.76
CANDIES.HERSHEY'S POT OF GOLD ALMOND BAR,44.89,38.46,12.82
CANDIES.HERSHEY'S SKOR TOFFEE BAR,63.73,30.37,3.13
CANDIES.HERSHEY'S.ALMOND JOY BITES,57.54,34.5,5.58
CANDIES.HERSHEYS.PAYDAY BAR,52.88,25,13.44
CANDIES.HONEY-COMBED.W/ PNUT BUTTER,67.41,20.18,8.72
CANDIES.JELLYBEANS,93.55,0.05,0
CANDIES.KIT KAT WAFER BAR,64.59,25.99,6.51
CANDIES.KRACKEL CHOC BAR,63.96,26.58,6.62
CANDIES.M&M MARS 3 MUSKETEERS TRUFFLE CRISP,63.15,28.85,6.41
CANDIES.M&M MARS PRETZEL CHOC CANDIES,72.94,15,5
CANDIES.MARS SNACK US.COCOAVIA BLUEBERRY & ALMOND CHOC BAR,60.37,28.68,6.35
CANDIES.MARS SNACK US.POP'ABLES 3 MUSKETEERS BITE SIZE,75.94,15.17,2.59
CANDIES.MARS SNACK US.STARBURST FRUIT CHEWS.FRT&CREM,82.43,8.36,0.41
CANDIES.MARS SNACKFOOD US.3 MUSKETEERS BAR,77.77,12.75,2.6
CANDIES.MARS SNACKFOOD US.COCOAVIA CHOC BAR,62.99,29.3,5.81
CANDIES.MARS SNACKFOOD US.COCOAVIA CHOC COVERED ALMONDS,50.22,37.07,9.51
CANDIES.MARS SNACKFOOD US.COCOAVIA CRISPY CHOC BAR,62.06,26.23,8.21
CANDIES.MARS SNACKFOOD US.DOVE DK CHOC,59.4,32.45,5.19
CANDIES.MARS SNACKFOOD US.DOVE MILK CHOC,59.78,31.72,5.94
CANDIES.MARS SNACKFOOD US.M&M'S ALMOND CHOC CANDIES,60.5,27.76,7.53
CANDIES.MARS SNACKFOOD US.M&M'S CRISPY CHOC CANDIES,72.4,19.32,4.28
CANDIES.MARS SNACKFOOD US.M&M'S MILK CHOC CANDIES,71.19,21.13,4.33
CANDIES.MARS SNACKFOOD US.M&M'S MINIS MILK CHOC CANDIES,68.4,23.36,4.78
CANDIES.MARS SNACKFOOD US.M&M'S PNUT BUTTER CHOC CANDIES,56.89,29.32,10.16
CANDIES.MARS SNACKFOOD US.M&M'S PNUT CHOC CANDIES,60.48,26.13,9.57
CANDIES.MARS SNACKFOOD US.MARS ALMOND BAR,62.7,23,8.1
CANDIES.MARS SNACKFOOD US.MILKY WAY BAR,71.17,17.23,4.01
CANDIES.MARS SNACKFOOD US.MILKY WAY CARML. DKCHOCCOV,67.56,20.42,3.82
CANDIES.MARS SNACKFOOD US.MILKY WAY MIDNIGHT BAR,71.22,17.5,3.2
CANDIES.MARS SNACKFOOD US.MILKYWAYCARAML.MILKCHOCOV,68.49,19.17,4.28
CANDIES.MARS SNACKFOOD US.POP MILKY WAY BITE SIZE,71.85,18,3.3
CANDIES.MARS SNACKFOOD US.POP SNICKERS BITE SIZE CANDIES,61.07,24.32,7.15
CANDIES.MARS SNACKFOOD US.SKITTLES ORIGINAL BITE SIZE CAND,90.78,4.37,0.19
CANDIES.MARS SNACKFOOD US.SKITTLES SOURS ORIGINAL,91.02,4,0.18
CANDIES.MARS SNACKFOOD US.SKITTLES TROPICAL BITE SIZE CAND,90.77,4.34,0.19
CANDIES.MARS SNACKFOOD US.SKITTLES WILD BERRY BITE SIZE,90.76,4.25,0.19
CANDIES.MARS SNACKFOOD US.SNICKERS ALMOND BAR,64.67,22.4,5.4
CANDIES.MARS SNACKFOOD US.SNICKERS BAR,61.51,23.85,7.53
CANDIES.MARS SNACKFOOD US.SNICKERS CRUNCHER,62.85,24.38,6.86
CANDIES.MARS SNACKFOOD US.SNICKERS MUNCH BAR,43.64,36.22,15.25
CANDIES.MARS SNACKFOOD US.STARBURST FRUIT CHEWS.ORIG FRUIT,82.57,8.21,0.41
CANDIES.MARS SNACKFOOD US.STARBURST FRUIT CHEWS.TROP,82.76,8.31,0.41
CANDIES.MARS SNACKFOOD US.STARBURST SOUR FRUIT CHEWS,79.73,7.78,0.39
CANDIES.MARS SNACKFOOD US.TWIX CARAMEL COOKIE BARS,64.8,24.85,4.91
