name,carbs,fats,proteins
ALCOHOLIC BEV.WINE.TABLE.WHITE.PINOT GRIS (GRIGIO),2.06,0,0.07
ALCOHOLIC BEV.WINE.TABLE.WHITE.RIESLING,3.74,0,0.07
ALCOHOLIC BEV.WINE.TABLE.WHITE.SAUVIGNON BLANC,2.05,0,0.07
ALCOHOLIC BEV.WINE.TABLE.WHITE.SEMILLON,3.12,0,0.07
ALCOHOLIC BEVERAGES.BEER.HIGHER ALCOHOL,0.27,0,0.9
ALCOHOLIC BEVERAGES.WINE.ROSE,3.8,0,0.36
ALFALFA SEEDS.SPROUTED.RAW,2.1,0.69,3.99
ALLSPICE.GROUND,72.12,8.69,6.09
ALMOND BUTTER.PLN.W/SALT,18.82,55.5,20.96
ALMOND BUTTER.PLN.WO/SALT,18.82,55.5,20.96
ALMOND PASTE,47.81,27.74,9
ALMONDS,21.55,49.93,21.15
ALMONDS.BLANCHED,18.67,52.52,21.4
ALMONDS.DRY RSTD.W/SALT,21.01,52.54,20.96
ALMONDS.DRY RSTD.WO/SALT,21.01,52.54,20.96
ALMONDS.HONEY RSTD.UNBLANCHED,27.9,49.9,18.17
ALMONDS.OIL RSTD.W/SALT,17.68,55.17,21.23
ALMONDS.OIL RSTD.WO/SALT,17.68,55.17,21.23
AMARANTH GRAIN.CKD,18.69,1.58,3.8
AMARANTH GRAIN.UNCKD,65.25,7.02,13.56
AMARANTH LEAVES.CKD.BLD.DRND.W/SALT,4.11,0.18,2.11
AMARANTH LEAVES.CKD.BLD.DRND.WO/SALT,4.11,0.18,2.11
AMARANTH LEAVES.RAW,4.02,0.33,2.46
ANCHOVY.EUROPEAN.CND IN OIL.DRND SOL,0,9.71,28.89
ANCHOVY.EUROPEAN.RAW,0,4.84,20.35
ANDREA'S.GLUTEN FREE SOFT DINNER ROLL,40.24,8.2,5.65
ANIMAL FAT.BACON GREASE,0,99.5,0
ANISE SEED,50.02,15.9,17.6
APPLE JUC.CND OR BTLD.UNSWTND.W/ ADDED VIT C,11.3,0.13,0.1
APPLE JUC.CND OR BTLD.UNSWTND.W/ ADDED VIT C.CA.& K,11.49,0.17,0.12
APPLE JUC.CND OR BTLD.UNSWTND.WO/ ADDED VIT C,11.3,0.13,0.1
APPLE JUC.FRZ CONC.UNSWTND.DIL W/3 VOLUME H2O WO/ VIT C,11.54,0.1,0.14
